Rank,Team,Score,Buchholz,MapDiff,H2H Score,H2H MapDiff,Cumulative,Seed
1,中国传媒大学,6.0,23.0,17,0,0,21.0,3
2,杭州电子科技大学,5.0,25.0,11,0,0,19.0,48
3,广东工业大学,5.0,24.0,10,0,0,17.0,53
4,四川大学,5.0,23.0,9,0,0,20.0,6
5,上海交通大学一队,5.0,22.0,10,0,0,18.0,5
6,南京邮电大学,5.0,21.0,11,0,0,15.0,8
7,北京城市学院,5.0,19.0,10,0,0,16.0,1
8,北京理工大学,4.0,24.0,4,0,0,16.0,7
9,西北工业大学,4.0,24.0,1,0,0,14.0,42
10,南京林业大学,4.0,22.0,8,0,0,16.0,59
11,中国地质大学（武汉）,4.0,22.0,4,0,0,18.0,39
12,武汉理工大学,4.0,21.0,6,0,0,13.0,15
13,华南理工大学,4.0,21.0,2,0,0,16.0,10
14,华东理工大学,4.0,20.0,4,0,0,14.0,47
15,浙江大学,4.0,19.0,8,0,0,14.0,9
16,中国民用航空飞行学院一队,4.0,19.0,5,0,0,13.0,17
17,上海第二工业大学,4.0,18.0,7,0,0,15.0,29
18,华中科技大学,4.0,18.0,6,0,0,13.0,4
19,电子科技大学二队,4.0,18.0,5,0,0,13.0,45
20,同济大学二队,4.0,14.0,3,0,0,10.0,36
21,山东大学,3.0,25.0,1,0,0,15.0,25
22,浙江水利水电学院,3.0,22.0,-1,0,0,12.0,55
23,中国海洋大学,3.0,21.0,4,0,0,12.0,46
24,桂林电子科技大学,3.0,21.0,-1,0,0,10.0,60
25,吉林大学,3.0,21.0,-3,0,0,15.0,35
26,安徽大学,3.0,21.0,-3,0,0,12.0,43
27,清华大学,3.0,20.0,1,0,0,10.0,13
28,电子科技大学一队,3.0,20.0,-1,0,0,15.0,12
29,厦门大学,3.0,18.0,1,0,0,7.0,57
30,北京航空航天大学,3.0,18.0,-3,0,0,10.0,24
31,长安大学一队,3.0,17.0,2,0,0,11.0,40
32,同济大学一队,3.0,17.0,1,0,0,9.0,16
33,广东财经大学,3.0,17.0,-1,0,0,11.0,41
34,武汉大学,3.0,16.0,4,0,0,11.0,22
35,华东师范大学一队,3.0,16.0,3,0,0,12.0,23
36,南开大学,3.0,16.0,0,0,0,9.0,19
37,西南大学,3.0,16.0,0,0,0,6.0,14
38,电子科技大学三队,3.0,15.0,-2,0,0,8.0,54
39,北京科技大学,3.0,13.0,3,0,0,8.0,26
40,西南财经大学,3.0,12.0,1,0,0,6.0,37
41,安徽师范大学,2.0,19.0,-7,0,0,8.0,44
42,华东师范大学二队,2.0,18.0,-3,0,0,8.0,33
43,兰州大学,2.0,18.0,-5,0,0,9.0,51
44,电子科技大学四队,2.0,18.0,-5,0,0,6.0,58
45,中山大学,2.0,18.0,-6,0,0,9.0,38
46,西安电子科技大学,2.0,15.0,-4,0,0,8.0,49
47,北京信息科技大学,2.0,15.0,-4,0,0,8.0,50
48,西交利物浦大学,2.0,15.0,-6,0,0,6.0,18
49,上海大学,2.0,14.0,-6,0,0,6.0,28
50,重庆大学,2.0,13.0,-3,0,0,5.0,11
51,上海交通大学二队,2.0,13.0,-4,0,0,8.0,34
52,大连理工大学,2.0,13.0,-7,0,0,4.0,2
53,华中农业大学,2.0,8.0,-4,0,0,3.0,21
54,北京工商大学,1.0,19.0,-10,0,0,5.0,20
55,北京大学,1.0,17.0,-11,0,0,3.0,52
56,南京师范大学,1.0,15.0,-12,0,0,6.0,30
57,阜阳师范大学,1.0,15.0,-12,0,0,5.0,32
58,长安大学二队,1.0,13.0,-10,0,0,1.0,56
59,中国民用航空飞行学院二队,1.0,11.0,-12,0,0,2.0,31
60,中央财经大学,0.0,14.0,-16,0,0,0.0,27
