Rank,Team,Score,Buchholz,MapDiff,H2H Score,H2H MapDiff,Cumulative,Seed
1,四川大学,3.0,6.0,8,0,0,6.0,6
2,中国传媒大学,3.0,5.0,9,0,0,6.0,3
3,杭州电子科技大学,3.0,5.0,8,0,0,6.0,48
4,山东大学,3.0,5.0,7,0,0,6.0,25
5,中国地质大学（武汉）,3.0,5.0,6,0,0,6.0,39
6,上海交通大学一队,3.0,4.0,7,0,0,6.0,5
7,电子科技大学一队,3.0,4.0,7,0,0,6.0,12
8,吉林大学,3.0,4.0,6,0,0,6.0,35
9,广东工业大学,2.0,7.0,4,0,0,5.0,53
10,中国海洋大学,2.0,6.0,5,0,0,4.0,46
11,华东师范大学一队,2.0,6.0,4,0,0,5.0,23
12,华南理工大学,2.0,6.0,1,0,0,5.0,10
13,南京林业大学,2.0,5.0,4,0,0,5.0,59
14,北京理工大学,2.0,5.0,3,0,0,5.0,7
15,上海第二工业大学,2.0,5.0,3,0,0,5.0,29
16,浙江水利水电学院,2.0,5.0,3,0,0,3.0,55
17,华东理工大学,2.0,5.0,2,0,0,5.0,47
18,安徽大学,2.0,5.0,2,0,0,4.0,43
19,电子科技大学二队,2.0,5.0,2,0,0,4.0,45
20,西北工业大学,2.0,5.0,-1,0,0,4.0,42
21,浙江大学,2.0,4.0,5,0,0,4.0,9
22,北京城市学院,2.0,4.0,4,0,0,4.0,1
23,武汉大学,2.0,4.0,4,0,0,3.0,22
24,华中科技大学,2.0,4.0,3,0,0,4.0,4
25,中国民用航空飞行学院一队,2.0,4.0,3,0,0,4.0,17
26,清华大学,2.0,4.0,3,0,0,3.0,13
27,武汉理工大学,2.0,4.0,3,0,0,3.0,15
28,中山大学,2.0,4.0,1,0,0,3.0,38
29,南京邮电大学,2.0,3.0,3,0,0,3.0,8
30,兰州大学,2.0,3.0,1,0,0,3.0,51
31,华东师范大学二队,1.0,7.0,-1,0,0,3.0,33
32,南开大学,1.0,5.0,-2,0,0,2.0,19
33,西安电子科技大学,1.0,5.0,-2,0,0,2.0,49
34,北京航空航天大学,1.0,5.0,-3,0,0,3.0,24
35,北京信息科技大学,1.0,5.0,-3,0,0,3.0,50
36,南京师范大学,1.0,5.0,-4,0,0,3.0,30
37,广东财经大学,1.0,5.0,-4,0,0,3.0,41
38,同济大学二队,1.0,5.0,-4,0,0,1.0,36
39,同济大学一队,1.0,4.0,0,0,0,2.0,16
40,长安大学一队,1.0,4.0,-1,0,0,3.0,40
41,北京科技大学,1.0,4.0,-1,0,0,1.0,26
42,上海交通大学二队,1.0,4.0,-2,0,0,3.0,34
43,西交利物浦大学,1.0,4.0,-2,0,0,1.0,18
44,厦门大学,1.0,4.0,-2,0,0,1.0,57
45,电子科技大学四队,1.0,4.0,-2,0,0,1.0,58
46,北京工商大学,1.0,4.0,-4,0,0,2.0,20
47,安徽师范大学,1.0,4.0,-4,0,0,2.0,44
48,桂林电子科技大学,1.0,4.0,-4,0,0,2.0,60
49,上海大学,1.0,4.0,-5,0,0,2.0,28
50,阜阳师范大学,1.0,4.0,-5,0,0,2.0,32
51,重庆大学,1.0,3.0,-2,0,0,1.0,11
52,电子科技大学三队,1.0,3.0,-3,0,0,1.0,54
53,西南大学,0.0,5.0,-6,0,0,0.0,14
54,北京大学,0.0,5.0,-9,0,0,0.0,52
55,长安大学二队,0.0,5.0,-9,0,0,0.0,56
56,中央财经大学,0.0,4.0,-7,0,0,0.0,27
57,西南财经大学,0.0,4.0,-7,0,0,0.0,37
58,大连理工大学,0.0,4.0,-8,0,0,0.0,2
59,华中农业大学,0.0,3.0,-6,0,0,0.0,21
60,中国民用航空飞行学院二队,0.0,3.0,-8,0,0,0.0,31
